,Ingredient,Volume (gram or oz)
0,Dehydrated Coconut Milk Powder,292893.476
1,Local Organic Hemp,137939.52099999998
2,Chai Mix,79509.94
3,Peppermint,56709.717
4,Cane Sugar,55758.58499999999
5,Hibiscus,46168.119999999995
6,Chamomile,44797.615999999995
7,Coconut Sugar,42902.573
8,Spearmint,42388.262
9,Oolong,35898.384
10,Orange Peel,35376.31
11,Red Rooibos,31461.617
12,Pumpkin Spice Chai,28870.0
13,Dutch Cocoa,26726.516
14,Lemongrass,23068.712
15,Turmeric,21761.819000000003
16,Vanilla Black Tea,21481.465
17,Rose Petals,20876.539
18,Blackberry Leaf,20833.891
19,Linden Leaf,19787.711
20,Spring Green Tea,18080.665
21,Mycology Mushroom Powder,17288.307
22,Valerian Root Powder,14289.890000000001
23,"Tulsi (Rama, Vishna, Krishna)",13292.225
24,CBG Hemp,12880.0
25,Ghiradelli's Sweet Ground Chocolate,10761.08
26,Gingko Leaf Powder,9513.6
27,Blue Pea Flower Powder,9426.220000000001
28,Genmaicha Tea,9119.825
29,Assam Black Tea,9058.5
30,Sweet Almond Oil,8922.401
31,Lemon Balm,8636.497
32,Lemon Peel,8558.187
33,Mullein,8405.0
34,Chamomile Flower Powder,7426.045000000001
35,Skullcap,7144.945000000001
36,Hawthorne Berry,6606.389999999999
37,Licorice Root,5504.147
38,Pumpkin Spice Powder,5350.124000000001
39,Vanilla Extract,5168.711
40,Keemun Congou Black,4529.25
41,Rose Hips,4409.6720000000005
42,Dandelion,4129.928
43,Clove,4129.928
44,Ginger Root,4039.457
45,Shatavari Root Powder,3805.44
46,Ashwagandha Root Powder,3805.44
47,Elder Flower,3554.0650000000005
48,Jojoba Oil,3387.53768
49,Kava Kava Root,3351.6240000000003
50,Marshmallow Root,3074.709
51,Ginger Powder,2788.25
52,Astragalus,2755.709
53,Cardamom,2755.709
54,Orange Peel Powder,2612.925
55,Lavender,2517.615
56,Wheatgrass,2488.0
57,Spirulina,2488.0
58,Chlorella,2488.0
59,Dunsandle Nilgiri Black,2264.625
60,Ceylon Black Tea,2264.625
61,Wild Dagga,2255.0864
62,Stevia,2207.686
63,Black Pepper,2192.473
64,Chaga Powder ,2128.266
65,Licorice Powder,1906.8
66,Fennel Powder,1906.8
67,Peppermint Leaf Powder,1906.8
68,Rhodiala Powder,1902.72
69,Toasted Coconut Chips,1823.965
70,Coconut Oil,1723.8600000000001
71,Pea Protein Powder,1500.474
72,Horney Goat Weed,1373.909
73,Cassia Cinnamon Chips,1340.506
74,Lemon Peel Powder,1307.075
75,Grapefruit Peel Powder,1307.075
76,Lotus Leaf,1048.7104
77,Vanilla Bean Powder,1046.633
78,Mugwort,887.376
79,Calea ,887.376
80,Melatonin,858.6200000000001
81,Dandelion Powder,851.466
82,Activated Charcoal,851.466
83,Garlic Powder,780.8000000000001
84,Birch Bark Powder,780.8000000000001
85,Butcher's Broom Powder,780.8000000000001
86,Peppermint Flavor Powder,725.778
87,Elderberry Powder,652.9250000000001
88,Cranberry Powder,547.1679999999999
89,Wild Lettuce,546.7104
90,Dried Passionfruit Powder,530.053
91,Himalayan Salt,527.509
92,Cardamom Powder,458.065
93,Cinnamon Powder,458.065
94,Shea Butter,406.944
95,Pumpkin Powder,381.084
96,Hemp Protein Powder,366.706
97,Polygala Powder,281.09999999999997
98,Jujube Powder,281.09999999999997
99,Marjoram,233.196
100,Lavender Oil,204.37
101,Pineapple Powder,160.713
102,Copaiba Balsam,151.875
103,CBD Isolate,142.26
104,Jasmine,125.21
105,Arnica,89.06249999999999
106,Frankincense,74.765
107,Bergamot,74.49000000000001
108,Ylang Ylang,59.495999999999995
109,Sweet Basil,59.375
110,Clary Sage,52.596
111,Matcha Powder,44.8
112,Sandalwood Oil,41.14
113,Green Power Powder,35.13
114,Chamomile Blue Oil,22.08
115,Juniper,21.060000000000002
116,Hemp Kief Powder,17.146
117,White Fir,10.26
118,Blue Tansy,10.26
119,Vanilla Oil,8.591
120,Holy Basil Powder,6.02
121,Gotu Kola Powder,4.132
122,Cinnamon Oil,2.9524000000000004
123,Beeswax,2.85112
124,Vitamin E Oil,0.58404
