"Product ID","Product Name","Variation Attributes","Quantity Sold","wwp_wholesale_role"
"1367","Golden Dream | Hemp CBD Tea","3-pack","3548",""
"1359","Mellow Mint | Hemp CBD Tea","3-pack","2028",""
"1330","Highbiscus | Hemp CBD Tea","3-pack","1828",""
"1363","Chai Awakening | Hemp CBD Tea","3-pack","1431",""
"7316","Sensualitea | Hemp CBD Tea","3-pack","1216",""
"1354","Buddha’s Berry | Hemp CBD Tea","3-pack","1150",""
"3014","Sleep Aid | CBD + Valerian, Chamomile, Skull Cap & Melatonin","1-oz","1104",""
"3014","Sleep Aid | CBD + Valerian, Chamomile, Skull Cap & Melatonin","4-oz","1067",""
"1367","Golden Dream | Hemp CBD Tea","3-pack","921","wholesale_customer"
"14790","Blue Moon Milk | CBD Latte","","915",""
"6493","Cosmic Cleanse | Hemp CBD Tea","3-pack","884",""
"14790","Blue Moon Milk | CBD Latte","original-3-servings","861",""
"1367","Golden Dream | Hemp CBD Tea","20-pack","815",""
"6913","Chocodelic Trip | CBD Hot Cocoa","original-3-servings","814",""
"2277","Oolong Passion | Hemp CBD Tea","3-pack","813",""
"14790","Blue Moon Milk | CBD Latte","large-9-servings","769",""
"10355","Mental Clarity | CBD + Ginkgo Leaf, Shatavari, Rhodiola, & Ashwagandha","1-oz","753",""
"8313","Dragon’s Lair | Natural Hemp CBD Oil","","740",""
"3219","Pumpkin Spice Chai | Hemp CBD Tea","3-pack","719",""
"2738","Immunity Support | CBD + Turmeric Capsules","4-oz","715",""
"6913","Chocodelic Trip | CBD Hot Cocoa","","695",""
"23741","Kush Hemp CBD Flower | Craft CBD Flower","","689",""
"23733","CBG Flower | Craft CBG Flower","","652",""
"1363","Chai Awakening | Hemp CBD Tea","3-pack","651","wholesale_customer"
"3951","Mighty Matcha | CBD Matcha","matcha-1-bag","646",""
"1330","Highbiscus | Hemp CBD Tea","3-pack","642","wholesale_customer"
"10355","Mental Clarity | CBD + Ginkgo Leaf, Shatavari, Rhodiola, & Ashwagandha","4-oz","636",""
"1359","Mellow Mint | Hemp CBD Tea","3-pack","622","wholesale_customer"
"6913","Chocodelic Trip | CBD Hot Cocoa","original-3-servings","600","wholesale_customer"
"6913","Chocodelic Trip | CBD Hot Cocoa","large-9-servings","559",""
"7316","Sensualitea | Hemp CBD Tea","3-pack","532","wholesale_customer"
"1354","Buddha’s Berry | Hemp CBD Tea","3-pack","505","wholesale_customer"
"2161","Pain Away | CBD Essential Oil Roller","","505",""
"1367","Golden Dream | Hemp CBD Tea","1-pack","499",""
"20965","Supreme Vitality | CBD + Reishi, Chaga, Cordyceps & 7 Other Mushrooms","1-oz","497",""
"2738","Immunity Support | CBD + Turmeric Capsules","1-oz","486",""
"14790","Blue Moon Milk | CBD Latte","original-3-servings","443","wholesale_customer"
"1367","Golden Dream | Hemp CBD Tea","1-pack","435","wholesale_customer"
"6493","Cosmic Cleanse | Hemp CBD Tea","3-pack","434","wholesale_customer"
"2277","Oolong Passion | Hemp CBD Tea","3-pack","423","wholesale_customer"
"6914","Golden Milk | CBD Turmeric Latte","","421",""
"37303","Breakfast Buzz | Hemp CBD Tea","3-pack","420",""
"8336","Relax | Hemp CBD Smoking Blend","","419",""
"1330","Highbiscus | Hemp CBD Tea","1-pack","414",""
"8338","Peace | Hemp CBD Smoking Blend","","413",""
"37314","Peppermint Treat | CBD Peppermint Cocoa","original-3-servings","396",""
"1363","Chai Awakening | Hemp CBD Tea","1-pack","392",""
"20816","Stomach Soother | Peppermint Hemp CBD Tincture","","385",""
"1359","Mellow Mint | Hemp CBD Tea","1-pack","384",""
"919","Buzz Balm | CBD Balm & Butter","","384",""
"7316","Sensualitea | Hemp CBD Tea","1-pack","382",""
"1359","Mellow Mint | Hemp CBD Tea","20-pack","372",""
"33244","Coconut Genmaicha | Hemp CBD Tea","3-pack","369",""
"20965","Supreme Vitality | CBD + Reishi, Chaga, Cordyceps & 7 Other Mushrooms","4-oz","363",""
"2276","Wild Rosin Honey | CBD Honey","2-oz","357",""
"1359","Mellow Mint | Hemp CBD Tea","1-pack","351","wholesale_customer"
"6914","Golden Milk | CBD Turmeric Latte","original-3-servings","346",""
"1363","Chai Awakening | Hemp CBD Tea","1-pack","343","wholesale_customer"
"3014","Sleep Aid | CBD + Valerian, Chamomile, Skull Cap & Melatonin","1-oz","333","wholesale_customer"
"1354","Buddha’s Berry | Hemp CBD Tea","1-pack","332",""
"3219","Pumpkin Spice Chai | Hemp CBD Tea","3-pack","330","wholesale_customer"
"3951","Mighty Matcha | CBD Matcha","matcha-1-bag","328","wholesale_customer"
"6493","Cosmic Cleanse | Hemp CBD Tea","1-pack","322",""
"24223","Renewing CBD Face Cream | Rosehip, Hibiscus, & Aloe","","314",""
"1354","Buddha’s Berry | Hemp CBD Tea","1-pack","308","wholesale_customer"
"10355","Mental Clarity | CBD + Ginkgo Leaf, Shatavari, Rhodiola, & Ashwagandha","1-oz","307","wholesale_customer"
"24192","Slumbering CBD Bath Soak | Chamomile, Zinc & B5","","306",""
"9737","Lavender | CBD Honey","3-pack","295",""
"9737","Lavender | CBD Honey","5-pack","285",""
"2277","Oolong Passion | Hemp CBD Tea","1-pack","282",""
"7316","Sensualitea | Hemp CBD Tea","1-pack","281","wholesale_customer"
"1330","Highbiscus | Hemp CBD Tea","20-pack","279",""
"1330","Highbiscus | Hemp CBD Tea","1-pack","278","wholesale_customer"
"24222","Soothing CBD Body Butter | Green Tea, Primrose & Shea Butter","","277",""
"6493","Cosmic Cleanse | Hemp CBD Tea","1-pack","275","wholesale_customer"
"2753","Super Greens | CBD + Spirulina & Wheatgrass","1-oz","274",""
"2738","Immunity Support | CBD + Turmeric Capsules","1-oz","272","wholesale_customer"
"2277","Oolong Passion | Hemp CBD Tea","1-pack","271","wholesale_customer"
"23741","Kush Hemp CBD Flower | Craft CBD Flower","3-prerolls-0-75g-each","268",""
"5636","Digest Well | CBD + Licorice, Ginger & Peppermint","1-oz","264",""
"6914","Golden Milk | CBD Turmeric Latte","","264","wholesale_customer"
"7956","Sacred | Hemp CBD Flower Blend","","261",""
"20965","Supreme Vitality | CBD + Reishi, Chaga, Cordyceps & 7 Other Mushrooms","1-oz","257","wholesale_customer"
"6914","Golden Milk | CBD Turmeric Latte","large-9-servings","256",""
"1363","Chai Awakening | Hemp CBD Tea","20-pack","254",""
"25785","Super Citrus | CBD + Citrus & Elderberry","1-oz","254",""
"2753","Super Greens | CBD + Spirulina & Wheatgrass","4-oz","254",""
"23741","Kush Hemp CBD Flower | Craft CBD Flower","7-grams","250",""
"919","Buzz Balm | CBD Balm & Butter","","244","wholesale_customer"
"8337","Center | Hemp CBD Smoking Blend","","243",""
"6914","Golden Milk | CBD Turmeric Latte","original-3-servings","239","wholesale_customer"
"9761","Orange Turmeric | CBD Honey","3-pack","236",""
"37314","Peppermint Treat | CBD Peppermint Cocoa","large-9-servings","235",""
"15203","Organic Wildflower | CBD Honey","5-pack","233",""
"5636","Digest Well | CBD + Licorice, Ginger & Peppermint","4-oz","233",""
"15203","Organic Wildflower | CBD Honey","3-pack","229",""
"14790","Blue Moon Milk | CBD Latte","","226","wholesale_customer"
"23741","Kush Hemp CBD Flower | Craft CBD Flower","3-prerolls-0-75g-each","223","wholesale_customer"
"6913","Chocodelic Trip | CBD Hot Cocoa","","220","wholesale_customer"
"10419","Cleanse | CBD + Charcoal, Dandelion & Chaga","1-oz","203",""
"3219","Pumpkin Spice Chai | Hemp CBD Tea","1-pack","201","wholesale_customer"
"15203","Organic Wildflower | CBD Honey","3-pack","196","wholesale_customer"
"23741","Kush Hemp CBD Flower | Craft CBD Flower","3-5-grams","190",""
"10419","Cleanse | CBD + Charcoal, Dandelion & Chaga","1-oz","187","wholesale_customer"
"25785","Super Citrus | CBD + Citrus & Elderberry","1-oz","183","wholesale_customer"
"9737","Lavender | CBD Honey","3-pack","183","wholesale_customer"
"22560","Lemon Ginger | CBD Honey","3-pack","181",""
"9761","Orange Turmeric | CBD Honey","5-pack","181",""
"5636","Digest Well | CBD + Licorice, Ginger & Peppermint","1-oz","169","wholesale_customer"
"24192","Slumbering CBD Bath Soak | Chamomile, Zinc & B5","","168","wholesale_customer"
"33244","Coconut Genmaicha | Hemp CBD Tea","3-pack","166","wholesale_customer"
"25785","Super Citrus | CBD + Citrus & Elderberry","4-oz","164",""
"23741","Kush Hemp CBD Flower | Craft CBD Flower","","160","wholesale_customer"
"37303","Breakfast Buzz | Hemp CBD Tea","3-pack","160","wholesale_customer"
"37314","Peppermint Treat | CBD Peppermint Cocoa","original-3-servings","158","wholesale_customer"
"22560","Lemon Ginger | CBD Honey","3-pack","154","wholesale_customer"
"22560","Lemon Ginger | CBD Honey","5-pack","153",""
"23733","CBG Flower | Craft CBG Flower","","153","wholesale_customer"
"8313","Dragon’s Lair | Natural Hemp CBD Oil","","153","wholesale_customer"
"22554","Hibiscus Goji Berry | CBD Honey","3-pack","151",""
"45114","Limited Edition Wildflower Honey | Delta-8 Honey","2-oz-jar-8-servings","150",""
"404","Hemp-Derived CBD Tea","golden-dream","147",""
"3219","Pumpkin Spice Chai | Hemp CBD Tea","1-pack","146",""
"24222","Soothing CBD Body Butter | Green Tea, Primrose & Shea Butter","","143","wholesale_customer"
"33244","Coconut Genmaicha | Hemp CBD Tea","1-pack","140","wholesale_customer"
"15203","Organic Wildflower | CBD Honey","2-oz-jar-8-servings","138",""
"2182","Unwind | CBD Essential Oil Roller","","135",""
"9737","Lavender | CBD Honey","2-oz-jar-8-servings","135",""
"32740","Garden of Eden Superfood | CBD Protein Powder","","134",""
"24223","Renewing CBD Face Cream | Rosehip, Hibiscus, & Aloe","","131","wholesale_customer"
"1575","Mystic Kava Root | Hemp CBD Tea","3-pack","125",""
"2753","Super Greens | CBD + Spirulina & Wheatgrass","1-oz","125","wholesale_customer"
"23741","Kush Hemp CBD Flower | Craft CBD Flower","3-5-grams","123","wholesale_customer"
"22554","Hibiscus Goji Berry | CBD Honey","5-pack","122",""
"37303","Breakfast Buzz | Hemp CBD Tea","1-pack","121",""
"2161","Pain Away | CBD Essential Oil Roller","","120","wholesale_customer"
