id,sku,name,category,zone,section,position,inventoriable,component,stock_on_hand,tracking_unit,purchase_unit,purchase_to_tracking_conversion,stock_status,state,unit_cost,actual_unit_cost,low_stock_limit,currency,starting_quantity,starting_unit_price,preferred_vendor,last_stocktake
1246414,2oz-Kraft-Bag,2oz Kraft Bag,,,,,yes,no,-5059.84574,item,item,1.0,Out of Stock,active,0.209,0.209,1000.0,USD,4500.0,0.103,Sav-On Bags,""
1246415,SPGR-01,Spring Green Tea,,"","","",yes,no,501.13,gram,lb,453.592,Low Stock,active,0.03452,0.03505,1200.0,USD,3624.0,0.052,Mountain Rose Herbs,""
1246419,"","Tulsi (Rama, Vishna, Krishna)",,"","","",yes,no,13983.25122,gram,lb,453.59237,In Stock,active,0.02511,0.02652,1200.0,USD,11325.0,0.039,"",""
1246421,"",Press N Seal Tea Bag,,"","","",yes,no,41541.0342,bag,case,5000.0,In Stock,active,0.0216,0.02161,0.0,USD,35000.0,0.024,Monterey Bay Spice Co.,""
1246425,Buddha's Berry - Front-001,Buddha's Berry - Front,,,,,yes,no,-4587.0,product label,product label,1.0,Out of Stock,active,0.0,0.17,500.0,USD,250.0,0.17,"",""
1246431,HempBlend-001,Proprietary Hemp Blend (1LB) ,,"","","",yes,yes,-1.402,lb,item,1.0,Out of Stock,active,131.58912,131.58912,3.0,USD,0.0,0.0,"",""
1247050,Chamomile-001,Chamomile,Herbs & Spices,,,,yes,no,116.62395,lb,lb,1.0,In Stock,active,15.85615,16.00662,10.0,USD,15.5,18.35,Mountain Rose Herbs,""
1247051,Spearmint-001,Spearmint,Herbs & Spices,,,,yes,no,13.0834,lb,lb,1.0,In Stock,active,15.37421,15.46163,10.0,USD,15.0,11.25,Mountain Rose Herbs,""
1247052,Orange Peel-001,Orange Peel,Herbs & Spices,,,,yes,no,45.7049,lb,lb,1.0,In Stock,active,12.70444,12.53126,5.0,USD,8.0,11.25,Mountain Rose Herbs,""
1247053,Lemongrass-001,Lemongrass,Herbs & Spices,,,,yes,no,-90.62668,lb,lb,1.0,Out of Stock,active,9.9,9.9,10.0,USD,17.5,10.87,Mountain Rose Herbs,""
1247054,Rose Petals-001,Rose Petals,Herbs & Spices,,,,yes,no,50.4584,lb,lb,1.0,In Stock,active,11.52013,11.94852,10.0,USD,22.0,16.0,Mountain Rose Herbs,""
1247055,Linden Leaf-001,Linden Leaf,Herbs & Spices,,,,yes,no,8.83651,lb,lb,1.0,In Stock,active,16.39148,16.21781,5.0,USD,9.0,16.5,Mountain Rose Herbs,""
1247056,Blackberry Leaf-001,Blackberry Leaf,Herbs & Spices,,,,yes,no,19.83651,lb,lb,1.0,In Stock,active,7.31203,7.27509,5.0,USD,15.0,7.5,Mountain Rose Herbs,""
1247057,Hawthorne Berry-001,Hawthorne Berry,Herbs & Spices,,,,yes,no,5.83651,lb,lb,1.0,In Stock,active,9.37,9.37,3.0,USD,8.0,9.37,Mountain Rose Herbs,""
1247058,Peppermint-001,Peppermint,Herbs & Spices,,,,yes,no,81.43526,lb,lb,1.0,In Stock,active,14.16354,13.95704,8.0,USD,17.5,10.5,Mountain Rose Herbs,""
